"city","time_period","x_3035","y_3035","rent","monthly_income","ratio"
"Ankara",2023,6251886.22534804,2163683.07342041,410,360.5,0.879268292682927
"Bucuresti",2023,5594361.04228231,2507386.44190423,580,592.333333333333,1.02126436781609
"Sofia",2023,5707913.00938054,2809867.35734445,480,682.75,1.42239583333333
"Budapest",2023,5000678.79885634,2750944.03416954,890,696.916666666667,0.783052434456929
"Zagreb",2023,4785629.36150298,2540923.89142519,890,907.583333333333,1.01975655430712
"Warszawa",2023,5069701.50498472,3292554.02783848,720,931.75,1.29409722222222
"Athina",2023,5529202.53447432,1763961.65842499,960,962.166666666667,1.00225694444444
"Riga",2023,5173773.11389998,3845073.01612323,740,1095.66666666667,1.48063063063063
"Vilnius",2023,5298385.12050926,3613033.81051889,790,1155.41666666667,1.46255274261603
"Lisboa",2023,2665385.64796119,1945134.96490373,1350,1197.33333333333,0.886913580246913
"Praha",2023,4637221.76145353,3006769.89788659,1150,1267.41666666667,1.10210144927536
"Tallinn",2023,5152551.94050447,4124125.28595327,780,1425.83333333333,1.82799145299145
"Ljubljana",2023,4669994.15237709,2559136.77570934,820,1609.41666666667,1.96270325203252
"Madrid",2023,3159406.8240391,2029837.17194308,1050,1723,1.64095238095238
"Lefkosia",2023,6435136.98785469,1670567.09615972,630,1847.58333333333,2.93267195767196
"Valletta",2023,4732150.9165871,1438622.50267659,900,1887.83333333333,2.09759259259259
"Roma",2023,4527777.84373782,2091191.54051032,910,1892.58333333333,2.0797619047619
"Paris",2023,3760458.95318893,2889170.1226719,1350,2298.08333333333,1.70228395061728
"Stockholm",2023,4780352.27742566,4051044.0784546,1700,2506.75,1.47455882352941
"Berlin",2023,4551673.00173678,3272235.70942544,1250,2525.66666666667,2.02053333333333
"Helsinki",2023,5145592.86145801,4205936.23396232,1100,2568.41666666667,2.33492424242424
"Bruxelles",2023,3923639.89910417,3097019.24158192,980,2595.83333333333,2.64880952380952
"Den Haag",2023,3931468.42390572,3234115.59103815,1200,2714.08333333333,2.26173611111111
"Wien",2023,4794183.21650948,2808748.13958062,1150,2914.66666666667,2.53449275362319
"Dublin",2023,3248548.49800598,3481135.7940631,2050,2933.83333333333,1.43113821138211
"København",2023,4482703.63197155,3623141.64785014,1650,3194.16666666667,1.93585858585859
"Oslo",2023,4362446.49347744,4090522.42390945,1450,3764.25,2.59603448275862
"Luxembourg",2023,4041392.80400414,2951645.41444717,1850,4556.08333333333,2.46274774774775
"Bern",2023,4126910.10147397,2651663.99883162,1500,4804.66666666667,3.20311111111111
