"city","time_period","country","variable","value","geometry"
"Wien",2014,"Austria","rent",910,c(16.3725042, 48.2083537)
"Wien",2014,"Austria","monthly_income",2173.33333333333,c(16.3725042, 48.2083537)
"Wien",2015,"Austria","rent",870,c(16.3725042, 48.2083537)
"Wien",2015,"Austria","monthly_income",2163.16666666667,c(16.3725042, 48.2083537)
"Wien",2016,"Austria","rent",900,c(16.3725042, 48.2083537)
"Wien",2016,"Austria","monthly_income",2171.16666666667,c(16.3725042, 48.2083537)
"Wien",2017,"Austria","rent",980,c(16.3725042, 48.2083537)
"Wien",2017,"Austria","monthly_income",2302.41666666667,c(16.3725042, 48.2083537)
"Wien",2018,"Austria","rent",970,c(16.3725042, 48.2083537)
"Wien",2018,"Austria","monthly_income",2317,c(16.3725042, 48.2083537)
"Wien",2019,"Austria","rent",960,c(16.3725042, 48.2083537)
"Wien",2019,"Austria","monthly_income",2380.66666666667,c(16.3725042, 48.2083537)
"Wien",2020,"Austria","rent",1000,c(16.3725042, 48.2083537)
"Wien",2020,"Austria","monthly_income",2458.58333333333,c(16.3725042, 48.2083537)
"Wien",2021,"Austria","rent",1050,c(16.3725042, 48.2083537)
"Wien",2021,"Austria","monthly_income",2502.66666666667,c(16.3725042, 48.2083537)
"Wien",2022,"Austria","rent",1050,c(16.3725042, 48.2083537)
"Wien",2022,"Austria","monthly_income",2566.33333333333,c(16.3725042, 48.2083537)
"Wien",2023,"Austria","rent",1150,c(16.3725042, 48.2083537)
"Wien",2023,"Austria","monthly_income",2914.66666666667,c(16.3725042, 48.2083537)
"Bruxelles/Brussel",2014,"Belgium","rent",810,c(4.351697, 50.8465573)
"Bruxelles/Brussel",2014,"Belgium","monthly_income",1952.41666666667,c(4.351697, 50.8465573)
"Bruxelles/Brussel",2015,"Belgium","rent",800,c(4.351697, 50.8465573)
"Bruxelles/Brussel",2015,"Belgium","monthly_income",1972.75,c(4.351697, 50.8465573)
"Bruxelles/Brussel",2016,"Belgium","rent",820,c(4.351697, 50.8465573)
"Bruxelles/Brussel",2016,"Belgium","monthly_income",2022,c(4.351697, 50.8465573)
"Bruxelles/Brussel",2017,"Belgium","rent",770,c(4.351697, 50.8465573)
"Bruxelles/Brussel",2017,"Belgium","monthly_income",2033.33333333333,c(4.351697, 50.8465573)
"Bruxelles/Brussel",2018,"Belgium","rent",800,c(4.351697, 50.8465573)
"Bruxelles/Brussel",2018,"Belgium","monthly_income",2099.66666666667,c(4.351697, 50.8465573)
"Bruxelles/Brussel",2019,"Belgium","rent",850,c(4.351697, 50.8465573)
"Bruxelles/Brussel",2019,"Belgium","monthly_income",2189.58333333333,c(4.351697, 50.8465573)
"Bruxelles/Brussel",2020,"Belgium","rent",870,c(4.351697, 50.8465573)
"Bruxelles/Brussel",2020,"Belgium","monthly_income",2303.41666666667,c(4.351697, 50.8465573)
"Bruxelles/Brussel",2021,"Belgium","rent",880,c(4.351697, 50.8465573)
"Bruxelles/Brussel",2021,"Belgium","monthly_income",2309.83333333333,c(4.351697, 50.8465573)
"Bruxelles/Brussel",2022,"Belgium","rent",970,c(4.351697, 50.8465573)
"Bruxelles/Brussel",2022,"Belgium","monthly_income",2455.91666666667,c(4.351697, 50.8465573)
"Bruxelles/Brussel",2023,"Belgium","rent",980,c(4.351697, 50.8465573)
"Bruxelles/Brussel",2023,"Belgium","monthly_income",2595.83333333333,c(4.351697, 50.8465573)
"Sofia",2014,"Bulgaria","rent",310,c(28.3807399, 46.843063)
"Sofia",2014,"Bulgaria","monthly_income",325.583333333333,c(28.3807399, 46.843063)
"Sofia",2015,"Bulgaria","rent",320,c(28.3807399, 46.843063)
"Sofia",2015,"Bulgaria","monthly_income",341.083333333333,c(28.3807399, 46.843063)
"Sofia",2016,"Bulgaria","rent",400,c(28.3807399, 46.843063)
"Sofia",2016,"Bulgaria","monthly_income",321.416666666667,c(28.3807399, 46.843063)
"Sofia",2017,"Bulgaria","rent",380,c(28.3807399, 46.843063)
"Sofia",2017,"Bulgaria","monthly_income",383.166666666667,c(28.3807399, 46.843063)
"Sofia",2018,"Bulgaria","rent",360,c(28.3807399, 46.843063)
"Sofia",2018,"Bulgaria","monthly_income",387,c(28.3807399, 46.843063)
"Sofia",2019,"Bulgaria","rent",420,c(28.3807399, 46.843063)
"Sofia",2019,"Bulgaria","monthly_income",462.583333333333,c(28.3807399, 46.843063)
"Sofia",2020,"Bulgaria","rent",430,c(28.3807399, 46.843063)
"Sofia",2020,"Bulgaria","monthly_income",493.916666666667,c(28.3807399, 46.843063)
"Sofia",2021,"Bulgaria","rent",390,c(28.3807399, 46.843063)
"Sofia",2021,"Bulgaria","monthly_income",560.833333333333,c(28.3807399, 46.843063)
"Sofia",2022,"Bulgaria","rent",420,c(28.3807399, 46.843063)
"Sofia",2022,"Bulgaria","monthly_income",570.666666666667,c(28.3807399, 46.843063)
"Sofia",2023,"Bulgaria","rent",480,c(28.3807399, 46.843063)
"Sofia",2023,"Bulgaria","monthly_income",682.75,c(28.3807399, 46.843063)
"Bern (Berne)",2014,"Switzerland","rent",1250,c(7.4521749, 46.9484742)
"Bern (Berne)",2014,"Switzerland","monthly_income",3699.75,c(7.4521749, 46.9484742)
"Bern (Berne)",2015,"Switzerland","rent",1550,c(7.4521749, 46.9484742)
"Bern (Berne)",2015,"Switzerland","monthly_income",3786,c(7.4521749, 46.9484742)
"Bern (Berne)",2016,"Switzerland","rent",1500,c(7.4521749, 46.9484742)
"Bern (Berne)",2016,"Switzerland","monthly_income",4238.25,c(7.4521749, 46.9484742)
"Bern (Berne)",2017,"Switzerland","rent",1400,c(7.4521749, 46.9484742)
"Bern (Berne)",2017,"Switzerland","monthly_income",4205.08333333333,c(7.4521749, 46.9484742)
"Bern (Berne)",2018,"Switzerland","rent",1350,c(7.4521749, 46.9484742)
"Bern (Berne)",2018,"Switzerland","monthly_income",4133.91666666667,c(7.4521749, 46.9484742)
"Bern (Berne)",2019,"Switzerland","rent",1400,c(7.4521749, 46.9484742)
"Bern (Berne)",2019,"Switzerland","monthly_income",3968.5,c(7.4521749, 46.9484742)
"Bern (Berne)",2020,"Switzerland","rent",1450,c(7.4521749, 46.9484742)
"Bern (Berne)",2020,"Switzerland","monthly_income",4219.83333333333,c(7.4521749, 46.9484742)
"Bern (Berne)",2021,"Switzerland","rent",1350,c(7.4521749, 46.9484742)
"Bern (Berne)",2021,"Switzerland","monthly_income",4420.5,c(7.4521749, 46.9484742)
"Bern (Berne)",2022,"Switzerland","rent",1500,c(7.4521749, 46.9484742)
"Bern (Berne)",2022,"Switzerland","monthly_income",4442.41666666667,c(7.4521749, 46.9484742)
"Bern (Berne)",2023,"Switzerland","rent",1500,c(7.4521749, 46.9484742)
"Bern (Berne)",2023,"Switzerland","monthly_income",4804.66666666667,c(7.4521749, 46.9484742)
"Lefkosia",2014,"Cyprus","rent",370,c(33.3638783, 35.1746503)
"Lefkosia",2014,"Cyprus","monthly_income",1534.83333333333,c(33.3638783, 35.1746503)
"Lefkosia",2015,"Cyprus","rent",390,c(33.3638783, 35.1746503)
"Lefkosia",2015,"Cyprus","monthly_income",1412,c(33.3638783, 35.1746503)
"Lefkosia",2016,"Cyprus","rent",450,c(33.3638783, 35.1746503)
"Lefkosia",2016,"Cyprus","monthly_income",1411.91666666667,c(33.3638783, 35.1746503)
"Lefkosia",2017,"Cyprus","rent",480,c(33.3638783, 35.1746503)
"Lefkosia",2017,"Cyprus","monthly_income",1434.83333333333,c(33.3638783, 35.1746503)
"Lefkosia",2018,"Cyprus","rent",620,c(33.3638783, 35.1746503)
"Lefkosia",2018,"Cyprus","monthly_income",1465.16666666667,c(33.3638783, 35.1746503)
"Lefkosia",2019,"Cyprus","rent",600,c(33.3638783, 35.1746503)
"Lefkosia",2019,"Cyprus","monthly_income",1608.5,c(33.3638783, 35.1746503)
"Lefkosia",2020,"Cyprus","rent",610,c(33.3638783, 35.1746503)
"Lefkosia",2020,"Cyprus","monthly_income",1619.16666666667,c(33.3638783, 35.1746503)
"Lefkosia",2021,"Cyprus","rent",570,c(33.3638783, 35.1746503)
"Lefkosia",2021,"Cyprus","monthly_income",1637.41666666667,c(33.3638783, 35.1746503)
"Lefkosia",2022,"Cyprus","rent",620,c(33.3638783, 35.1746503)
"Lefkosia",2022,"Cyprus","monthly_income",1728.5,c(33.3638783, 35.1746503)
"Lefkosia",2023,"Cyprus","rent",630,c(33.3638783, 35.1746503)
"Lefkosia",2023,"Cyprus","monthly_income",1847.58333333333,c(33.3638783, 35.1746503)
"Praha",2014,"Czechia","rent",610,c(14.446459273258, 50.0596288)
"Praha",2014,"Czechia","monthly_income",716.666666666667,c(14.446459273258, 50.0596288)
"Praha",2015,"Czechia","rent",640,c(14.446459273258, 50.0596288)
"Praha",2015,"Czechia","monthly_income",695.416666666667,c(14.446459273258, 50.0596288)
"Praha",2016,"Czechia","rent",680,c(14.446459273258, 50.0596288)
"Praha",2016,"Czechia","monthly_income",734,c(14.446459273258, 50.0596288)
"Praha",2017,"Czechia","rent",800,c(14.446459273258, 50.0596288)
"Praha",2017,"Czechia","monthly_income",773.5,c(14.446459273258, 50.0596288)
"Praha",2018,"Czechia","rent",910,c(14.446459273258, 50.0596288)
"Praha",2018,"Czechia","monthly_income",841.5,c(14.446459273258, 50.0596288)
"Praha",2019,"Czechia","rent",920,c(14.446459273258, 50.0596288)
"Praha",2019,"Czechia","monthly_income",922.333333333333,c(14.446459273258, 50.0596288)
"Praha",2020,"Czechia","rent",900,c(14.446459273258, 50.0596288)
"Praha",2020,"Czechia","monthly_income",990.416666666667,c(14.446459273258, 50.0596288)
"Praha",2021,"Czechia","rent",760,c(14.446459273258, 50.0596288)
"Praha",2021,"Czechia","monthly_income",1003.33333333333,c(14.446459273258, 50.0596288)
"Praha",2022,"Czechia","rent",980,c(14.446459273258, 50.0596288)
